name,RT1,RT2,RT3,RT4,ACC1,ACC2,ACC3,ACC4,unpleasant1,unpleasant2,unpleasant3,unpleasant4,unpleasant(ILP-ILNP),unpleasant(IDP-IDNP),unpleasant(ILP-IDP),unpleasant(ILP-IDP)-(ILNP-IDNP),intensity1,intensity2,intensity3,intensity4,intensity(ILP-ILNP),intensity(IDP-IDNP),intensity(ILP-IDP),intensity(ILP-IDP)-(ILNP-IDNP),altruistic-IL,altruistic-ID,altruistic(IL-ID),note:
1,0.9646875,0.899125,0.87325,0.8804375,0.96875,0.96875,0.96875,1,7.75,7.8125,7.9375,8.1875,0.0625,0.25,-0.375,-0.1875,1.25,8.4375,1.0625,8.5625,7.1875,7.5,-0.125,-0.3125,4.75,0.125,4.625,
2,0.97453125,0.988625,1.04953125,1.0291875,0.9375,1,1,1,5.4375,5,4.875,4.625,-0.4375,-0.25,0.375,-0.1875,1.0625,8.625,1.0625,8.8125,7.5625,7.75,-0.1875,-0.1875,2.625,1.5,1.125,1-IL-NP
3,1.06496875,1.2900625,0.966625,1.2586875,1,1,1,1,4.875,8.75,6.75,6.5,3.875,-0.25,2.25,4.125,1.0625,9,1,8.6875,7.9375,7.6875,0.3125,0.25,4.75,0.125,4.625,2-IL-P
4,1.1355,1.120125,0.954875,1.159375,1,1,1,0.96875,2.1875,8.6875,5.75,2.9375,6.5,-2.8125,5.75,9.3125,1.25,9,1,7.8125,7.75,6.8125,1.1875,0.9375,3.875,1,2.875,3-ID-NP
5,1.3665625,1.37265625,1.34325,1.454645161,1,1,1,0.935483871,5.3125,7.125,6.4375,6.75,1.8125,0.3125,0.375,1.5,2,8.8125,1.625,8.5,6.8125,6.875,0.3125,-0.0625,4.375,1.375,3,4-ID-P
6,1.642625,1.20934375,1.66115625,1.786,0.96875,1,1,1,3.25,7.25,5.125,5,4,-0.125,2.25,4.125,2.875,8.625,1,6.75,5.75,5.75,1.875,0,4.5,0,4.5,
7,1.30678125,2.138833333,1.16975,2.0147,0.96875,0.933333333,1,0.966666667,4.875,7.875,5.4375,7.75,3,2.3125,0.125,0.6875,1,7.9375,1.375,7.25,6.9375,5.875,0.6875,1.0625,5,2,3,
8,0.98740625,1.2865,0.92978125,1.318125,1,1,1,1,2.0625,8.5,2.375,8.5625,6.4375,6.1875,-0.0625,0.25,1,8.6875,1,8.25,7.6875,7.25,0.4375,0.4375,4.375,1.875,2.5,
9,1.211354839,1.41590625,1.24059375,1.3875625,1,1,1,1,2,6.1875,6.8125,7.125,4.1875,0.3125,-0.9375,3.875,1,8.5625,1,8,7.5625,7,0.5625,0.5625,4.875,2.5,2.375,
10,1.692129032,2.314296296,1.684483871,2.383333333,1,1,1,1,7.375,8.875,6.9375,7.3125,1.5,0.375,1.5625,1.125,2.125,8.875,2,8.5625,6.75,6.5625,0.3125,0.1875,5,2.75,2.25,
11,1.35909375,1.52653125,1.380125,1.4799375,1,1,0.9375,1,5.25,7.6875,4.9375,8,2.4375,3.0625,-0.3125,-0.625,2.5,9,2.625,9,6.5,6.375,0,0.125,4.25,4,0.25,
12,1.56696875,1.826354839,1.744375,1.92515625,1,1,0.96875,1,2.125,5.9375,5.3125,7.1875,3.8125,1.875,-1.25,1.9375,1,8.4375,1,8.9375,7.4375,7.9375,-0.5,-0.5,5,0.875,4.125,
13,2.16283871,2.450966667,2.05921875,2.371193548,1,1,1,1,1.25,9,6,6.625,7.75,0.625,2.375,7.125,1,8.75,1,8.0625,7.75,7.0625,0.6875,0.6875,3.75,0.125,3.625,
14,1.57553125,1.977322581,1.68221875,1.883290323,1,1,1,1,4.9375,8,6,3.6875,3.0625,-2.3125,4.3125,5.375,1,6,1,7.9375,5,6.9375,-1.9375,-1.9375,5,3,2,
15,1.816862069,1.595387097,1.659033333,1.818814815,1,1,1,1,6.6875,6.5,6.6875,6.9375,-0.1875,0.25,-0.4375,-0.4375,1,8,1.125,8,7,6.875,0,0.125,4.5,0.5,4,
16,0.88715625,0.7774375,0.89725,0.7401875,1,1,1,1,2.5625,9,3.1875,9,6.4375,5.8125,0,0.625,1,9,1,8.125,8,7.125,0.875,0.875,5,3,2,
17,1.63528125,1.8301875,1.54878125,1.813096774,1,1,0.96875,0.967741935,1.6875,7.9375,2.8125,8.125,6.25,5.3125,-0.1875,0.9375,1.3125,9,2.1875,8.5625,7.6875,6.375,0.4375,1.3125,4.125,4.875,-0.75,
18,0.83709375,0.8845625,0.8099375,0.87240625,0.96875,1,1,1,3.6875,9,6.5625,9,5.3125,2.4375,0,2.875,1.125,8.5,1,9,7.375,8,-0.5,-0.625,3.5,1.125,2.375,
19,1.487903226,1.3965,1.43125,1.404580645,0.677419355,0.75,0.71875,0.677419355,6.875,7.625,8.8125,8.9375,0.75,0.125,-1.3125,0.625,2.875,2,1.0625,1.0625,-0.875,0,0.9375,-0.875,3,0.75,2.25,
